,RegionID,RegionName,City,State,Metro,CountyName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2000_agg,2010_agg,pct_delta
1,84630,60629,Chicago,IL,Chicago,Cook,2,83.3729,81.9039,86.2227,88.2281,92.4941,88.4356,84.288,86.4587,87.2849,82.1885,84.3404,85.3516,83.9546,80.3261,80.8496,85.4139,87.8756,86.3272,86.9252,88.9441,84.8332,82.1182,82.8501,85.9554,85.4117,85.6305,90.6093,92.3588,95.8791,95.46,97.4595,94.5612,91.3699,91.5263,90.7089,94.4271,92.9856,93.5025,95.1732,98.548,97.9914,100.6991,101.1288,98.9864,98.825,97.1882,96.2857,96.9749,95.9114,98.781,104.0177,106.1937,101.3434,105.3942,106.4167,109.8434,107.4815,107.3327,111.7432,112.8865,116.973,118.3484,120.0156,124.0275,123.6604,124.9783,125.5732,130.2269,136.6386,131.1839,126.004,125.4236,126.3415,128.7578,134.0397,141.908,138.4013,138.3005,142.131,144.4557,143.2734,142.0678,136.8693,139.484,142.7352,149.7844,164.6965,161.1981,160.1541,157.6091,159.4239,164.4665,160.2652,160.5693,159.403,165.4875,161.9953,164.3169,167.6495,170.055,173.429,172.9361,175.2282,180.1649,184.2798,185.597,184.3683,186.6944,187.9578,190.0763,189.7345,196.2693,200.4118,201.2905,201.4965,203.0147,199.6534,200.8508,205.5953,198.8394,204.1133,213.1051,210.3206,211.4829,214.122,217.7602,214.155,202.6956,206.4712,211.0221,213.1765,212.7749,206.743,206.968,211.2675,206.7553,203.2545,202.1132,195.0059,192.0257,193.8053,187.5463,195.5964,184.6424,178.9916,182.5837,179.806,171.1776,170.8004,171.2645,164.1921,151.2681,133.1897,131.336,141.0512,144.0572,135.2559,,133.9837,133.9617,134.2566,122.2658,127.8664,130.7113,122.1872,112.947,115.1667,126.0608,124.5716,132.6056,124.5773,124.3543,127.5862,125.235,120.6238,104.4177,106.046,102.5335,116.1049,112.962,109.7999,103.6681,104.2832,103.5103,101.8862,109.0509,100.4555,97.2719,95.8577,101.9246,106.3171,109.185,115.7075,120.9565,124.7645,123.4396,118.733,122.6573,106.9069,103.321,102.9773,101.9681,108.3858,102.5008,111.5418,110.0932,103.363,94.8442,99.4525,103.1513,123.4814,119.6632,125.0165,118.4917,112.1278,121.5239,120.1162,115.2933,103.5425,105.5923,121.6394,126.1742,125.6553,116.9917,113.1415,118.9884,107.6563,107.2762,109.5701,116.6246,111.9092,114.7804,127.9313,132.5965,131.3061,98.6824,115.6055,1.17149055961
2,96193,90650,Norwalk,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,3,117.3969,118.0225,113.3146,112.0347,114.1521,113.2268,111.2448,109.2356,112.6931,115.6738,115.994,108.9467,113.3924,110.7738,108.5902,110.6241,113.3821,117.6624,114.2688,112.9188,114.2251,116.3165,111.2844,111.1042,112.2943,117.9401,117.964,117.6704,117.3105,114.7438,115.1906,113.4917,119.0176,118.3696,119.5861,120.8136,122.6741,122.6501,123.372,124.8398,125.4529,126.7413,127.6706,131.6904,133.3669,131.0105,128.9351,127.7395,131.2876,131.7996,129.0308,133.0789,137.417,138.0326,136.8627,144.1785,144.5976,142.1361,142.4116,142.3305,146.5585,148.521,150.1772,148.1339,150.7835,152.0475,156.8179,155.7966,159.51,163.8263,163.3214,165.7627,170.18,171.6869,176.0069,179.0002,184.8065,185.5108,182.5591,186.4779,194.8672,201.2333,200.155,204.5331,209.9916,207.7769,209.0688,218.0594,219.5614,223.6838,226.0876,234.9496,239.0365,241.7703,244.9736,256.4802,266.2276,268.6803,280.8254,296.2646,294.0758,295.5626,299.3176,299.7004,310.4154,318.1781,327.4576,338.2449,332.1026,335.0606,353.8236,359.7173,369.908,380.6648,387.0216,396.8802,400.9747,392.8032,391.3268,406.3213,395.6596,405.0084,405.0908,411.3699,415.6431,409.7222,412.9407,409.7835,401.3068,385.6472,398.7057,392.2085,398.9953,389.9852,396.5348,394.2756,383.8547,375.282,352.323,342.2384,313.7,323.4062,328.9131,319.8267,326.8512,314.0876,293.108,276.6659,274.8641,274.0117,271.1939,246.0793,229.548,231.5992,239.5408,233.5075,234.0834,246.9164,243.3549,241.378,237.617,242.1351,234.3883,244.8863,243.2668,242.1062,237.788,237.2232,237.5157,238.537,234.236,232.4506,231.526,236.1329,239.7487,235.3492,222.0527,215.3676,225.6735,218.8438,223.5434,228.3096,227.6463,223.459,226.0243,229.1417,235.6075,227.5498,219.8136,236.8887,234.3855,225.6425,229.9889,224.8353,227.7036,234.5118,234.7218,228.2131,221.8379,231.7794,230.8116,249.9534,258.624,247.0731,248.9392,250.8335,266.6558,266.6535,268.9651,282.5015,287.1165,293.1764,281.2928,291.0114,282.9296,298.6052,289.6318,294.9153,300.2414,303.2769,291.9878,303.5781,314.2814,327.2802,317.2496,312.0753,297.1876,287.1131,305.2852,314.4935,339.6102,341.7029,339.3655,336.4867,343.4985,130.5054,229.691,1.76001146313
7,96125,90280,South Gate,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,8,118.3015,121.3851,117.8144,122.3694,124.6468,122.9418,119.5063,118.1009,122.655,121.1318,118.7361,112.881,115.2853,114.9234,116.5601,115.7037,115.4531,117.241,123.1254,117.5763,116.3737,117.3234,112.4569,116.4104,120.8716,121.4901,117.2832,119.2311,118.1527,123.1749,115.0169,114.8405,117.6092,119.9959,121.5556,118.0527,118.2184,119.1929,122.528,119.8428,115.2839,117.3491,119.301,128.7204,132.1245,127.9136,129.1614,131.2243,130.8659,128.8765,132.2994,131.3422,129.2192,133.4694,129.9131,131.4665,134.3499,142.6815,138.8755,137.1241,137.3864,140.1197,144.7536,143.6478,145.9544,145.8165,152.3906,153.4432,149.8462,152.3424,160.0054,162.3754,158.4028,158.8736,155.3351,155.6121,164.5625,169.6822,176.2886,181.6616,176.0954,175.8359,182.2402,176.4685,182.8518,189.1988,187.4689,189.1767,202.1315,212.7102,219.285,212.1762,220.7771,227.9436,228.9805,240.6464,245.3101,257.7815,260.9245,270.5712,280.7416,279.8453,280.2353,279.9708,297.6742,297.2327,289.0428,304.6777,319.0086,322.376,324.8403,330.7179,344.7228,357.7859,358.1873,368.0432,381.0332,376.7565,369.3466,378.3945,395.0609,402.9091,411.4363,411.8687,409.7219,405.7928,399.2147,407.4756,415.6194,408.4625,407.1703,407.9112,398.8602,392.144,393.7039,399.6937,384.5992,400.9245,,410.7971,358.2322,,,,,337.246334311,,276.0524,,264.7372,267.0155,257.3981,236.3452,226.004,,215.9042,209.449,214.9895,210.7058,218.7984,213.1299,,216.9413,201.6974,201.6956,201.5948,200.5773,207.6389,204.3685,206.5359,211.4579,212.2937,214.8579,201.7453,205.6084,213.4162,220.9381,211.0897,206.6447,200.7203,214.5278,208.5638,209.2057,213.2837,220.1205,219.8251,210.9062,210.6354,,214.758810573,202.8838,,,191.730827068,,202.3067,213.591,,201.5256,,228.038,,209.3866,207.7554,222.7143,214.7797,245.8332,237.646,215.1479,236.1431,,,,,,,,296.610169492,,,,272.658610272,,,242.248062016,,,266.089108911,267.544,281.4984,303.1221,312.5424,,,279.620853081,130.197,212.896166667,1.63518488649
10,84620,60618,Chicago,IL,Chicago,Cook,11,130.281690141,121.4685,127.4808,125.9311,119.8565,107.3306,103.7671,112.6521,118.0756,107.7247,,102.1097,107.0049,110.6245,122.6887,115.817,110.1592,118.9129,119.089,114.2983,107.8967,,,138.190954774,124.6543,122.2254,143.4391,127.7708,118.8031,125.8294,133.5715,123.8324,127.8238,120.7668,118.3218,118.3846,133.5493,152.1399,134.9239,140.7404,167.3603,173.1714,152.8913,143.2322,146.8124,135.0938,158.6881,187.6231,201.2671,190.1181,185.0608,196.7344,188.9433,190.6183,185.1414,190.5522,183.0895,199.8166,204.1689,184.9833,173.8168,175.928,196.4015,213.6844,204.9816,208.3402,194.8881,192.2013,195.285,184.2373,182.1061,193.1081,202.4782,206.9244,210.4557,215.9446,227.8309,221.3185,213.7622,199.0932,207.6401,219.6322,238.5854,265.4027,277.4655,271.5104,256.684,238.0126,223.7336,229.7717,228.0275,232.9034,249.0129,233.8111,242.9154,234.5799,238.9146,252.8452,251.7111,250.4126,248.6193,259.3463,270.8747,271.1919,259.7324,260.3848,269.6017,251.9563,239.3247,263.6006,276.7936,276.9077,268.9302,269.6294,275.568,280.0675,277.1013,289.0258,278.1944,272.5497,282.0085,281.5391,279.1148,252.7303,282.4305,298.5172,295.7475,291.2525,283.5588,275.2879,284.138,267.8513,269.2091,272.7994,289.8061,282.7868,283.1759,291.298,328.7941,310.2117,295.9129,291.9847,,286.4461,281.6003,266.3069,286.5306,293.334,299.7722,276.2456,269.6207,,240.8036,292.153,,,252.032520325,260.0281,252.9434,264.9452,260.4343,259.1126,244.756,254.1008,251.3073,253.4095,,230.7957,225.7658,221.906,245.857,253.0444,269.4095,261.1836,253.348,261.3176,258.1853,249.9428,250.2646,235.2026,238.2873,228.9112,231.8027,221.4181,218.4063,231.8296,218.5254,219.938,224.3826,231.6066,,222.1806,202.493,219.8522,223.6268,237.7173,249.2751,226.0825,224.8802,238.289,236.9822,215.768,196.7915,,226.3855,251.4247,245.8973,244.5162,259.849,273.0204,293.5696,288.9782,262.438,255.7844,272.2088,267.3972,257.1449,272.1667,261.1038,274.0907,278.7104,290.8774,328.3363,299.5304,292.4431,269.501,251.4045,260.4844,260.7454,261.7698,277.2859,280.3984,281.4343,274.8011,293.8369,151.8924,265.168433333,1.74576498451
13,96361,91331,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,14,90.6023,87.5728,88.6735,89.265,93.3583,93.5522,89.3922,88.9609,86.9836,81.3432,82.0419,80.6554,87.2493,87.3106,82.7821,80.5946,81.9859,84.8817,83.2912,85.4526,87.3419,89.0783,88.0231,80.7515,76.6855,82.4643,87.0814,89.6917,88.9356,92.5059,95.1573,92.0024,87.0772,92.8164,92.0428,90.0709,94.9124,95.6034,91.5901,91.175,93.2058,97.6158,100.9332,101.4218,100.3726,107.9809,108.8484,110.4857,109.2324,108.7024,107.0636,110.2178,112.879,115.8833,115.2374,111.4858,111.928,113.7117,124.9831,126.5673,123.4445,115.9678,118.741,122.3839,124.2519,123.6573,126.1408,127.893,130.1236,132.6394,137.1369,133.7676,137.6733,146.4079,140.8699,141.2523,146.2026,147.3842,154.0592,158.069,168.9835,166.1917,166.9902,169.9221,169.2082,168.026,172.7322,175.0868,183.7843,194.4787,198.2283,205.3943,209.5208,208.3735,216.6329,223.5877,231.2378,244.6389,252.1643,253.4693,256.4274,264.9606,270.6238,277.5822,292.48,288.7066,293.898,289.3617,291.6656,290.9803,305.6135,328.3766,339.6434,343.74,346.5061,354.2899,342.2741,354.5755,364.1452,364.4103,366.2285,360.8821,370.5759,379.4054,385.7538,383.6137,389.3508,390.4093,372.2593,373.9213,366.8022,364.4805,338.6693,318.7526,328.1078,350.5144,344.2913,306.0176,291.6123,,256.9005,268.3896,,,258.460526316,237.2803,238.1558,236.6203,235.7593,219.6769,221.7662,203.5098,202.8067,201.6872,184.4283,181.4157,183.422,189.5465,194.516,193.2882,199.7637,194.7061,190.6038,193.6341,188.3281,197.9218,195.1196,188.0012,189.3297,200.4959,193.0283,199.1127,192.7062,189.4378,194.426,191.6273,194.2124,185.8806,194.427,189.5053,188.751,198.9116,195.9549,199.0097,185.9632,193.7634,183.1878,184.8819,186.8025,191.7077,174.5715,175.5457,174.564,177.075,179.5194,194.8631,196.8513,190.1458,179.8399,190.7097,202.0568,204.7045,200.475,214.6879,209.4724,213.541,228.6027,212.2897,212.4591,219.2991,217.7121,236.7677,268.9312,256.0249,231.2489,248.636,246.7834,233.6222,226.3063,235.3674,264.9029,265.8259,248.5994,242.0698,247.2986,253.3083,243.9364,237.0638,253.8777,278.769,304.2741,278.4844,296.2229,278.0827,257.3053,104.836333333,195.1632,1.86159887316
14,61148,08701,Lakewood Township,NJ,New York,Ocean,15,63.7108,67.1249,65.4654,64.3478,61.699,62.161,65.1903,62.4678,59.4735,63.4966,67.3887,66.1565,66.9049,65.7296,72.3931,73.6464,72.8227,66.2065,62.8316,63.8316,62.1239,64.0504,60.9344,61.8172,61.5364,61.3781,57.7573,58.5089,61.7811,63.9737,64.2893,64.8796,63.0906,61.2068,62.2956,62.6929,62.0157,64.5941,66.0368,65.8929,65.6168,68.3597,65.7526,66.2689,67.2784,73.8505,83.82,88.3133,85.8467,81.4591,80.4108,80.7396,81.7882,80.956,79.8986,82.624,84.8919,89.4462,91.5485,89.8155,87.2929,88.7683,89.4675,90.7511,89.7737,89.1118,89.3383,89.4071,93.8437,91.7802,92.4168,90.6633,88.9428,88.5766,89.7734,92.5227,100.1277,104.4408,105.3007,105.3786,108.2566,111.2288,110.3775,110.4273,113.098,118.7575,120.6374,121.3972,124.2028,130.6657,132.687,131.1343,130.0989,130.7399,127.8567,127.7917,134.4894,140.1993,138.1174,142.3506,145.5983,148.281,146.9616,145.7902,141.1027,145.6992,146.0588,142.9933,147.7981,160.0828,165.013,166.7341,167.5512,168.408,174.4251,174.229,177.7345,173.5527,172.8773,166.4474,170.8979,161.4465,151.773,159.2299,163.3218,169.1308,163.5682,159.6772,162.8677,165.1045,175.2676,170.2659,167.6408,163.6629,162.9691,167.255,167.0766,158.5406,158.1085,161.7535,157.4297,157.2681,149.8748,150.1173,154.6437,152.8121,140.5019,140.0884,149.9817,154.9002,144.3552,135.501,137.8573,143.3956,132.9717,133.9038,142.7665,134.2446,130.8915,133.3327,133.1527,133.4456,132.2264,130.216,131.0697,135.4418,130.9515,126.7364,131.7013,131.0709,127.3073,126.3014,120.1477,113.217,105.7818,115.5361,125.9975,126.3347,121.2933,122.9045,116.6655,116.7783,111.2393,111.9494,110.717,109.0146,116.2359,116.9387,122.9523,123.6055,98.0192,110.0109,117.4951,112.3898,109.561,108.4601,110.6548,106.4714,107.1637,114.3551,110.6076,119.8131,128.3423,133.2712,134.519,131.376,121.4352,119.0134,125.6188,130.7979,127.3002,130.5948,130.6028,134.6176,135.0,138.0135,130.245,128.2541,131.294,130.6494,124.7828,129.8677,133.139,139.0996,136.4121,138.3844,138.6404,147.2406,141.0079,141.7898,145.8789,143.1972,142.2971,136.968,145.6911,74.8345,135.057366667,1.80474736474
15,96816,92335,Fontana,CA,Riverside,San Bernardino,16,69.6875,69.0687,70.4785,68.4439,69.2145,69.3348,69.2429,68.9937,66.6108,67.3921,69.7014,68.537,67.2179,69.1388,70.6488,71.172,71.2457,69.2283,71.4126,71.2441,71.1348,68.4345,67.0898,65.6626,65.0661,67.3878,68.1417,67.5749,66.907,68.7665,69.8033,73.4832,75.0093,72.7609,70.7863,71.7375,72.2263,76.0695,76.3351,73.7421,74.0992,72.7256,71.1967,75.1401,76.4689,76.7908,74.593,74.5469,76.948,79.4099,81.418,82.0676,82.3352,83.4214,84.1789,84.4053,86.3278,87.5211,90.4739,94.4792,94.8444,91.4643,90.9303,92.0948,91.8112,94.5041,98.1578,98.1639,96.8878,99.2385,96.4044,95.4578,97.2257,102.3019,103.9216,107.2076,108.8253,112.9993,113.3534,115.0026,118.4485,119.7327,120.6809,120.9422,124.1442,124.2976,126.6719,131.1356,133.0618,134.8159,135.0196,141.6176,147.748,150.2518,157.7603,160.9684,169.4537,175.9584,181.3348,186.88,193.5654,201.9502,204.8944,205.0392,210.2597,214.1532,214.4383,219.3145,227.2352,239.2003,246.6825,249.8294,255.958,258.7921,266.188,276.6056,272.5527,272.1708,274.9625,281.8843,290.1826,290.3229,282.7052,277.2533,282.2749,286.7605,294.8544,293.9463,297.1748,292.5139,283.581,276.7465,276.8068,280.4433,277.0621,268.0039,259.5212,251.3526,233.1917,231.6605,264.8744,,,,,,,,,157.264957265,149.2496,142.2005,,124.068,113.5552,127.7527,125.1399,120.2549,112.7741,112.6215,111.1462,114.4759,114.7163,114.5363,113.8083,114.8971,114.7706,113.6247,116.5352,116.9055,116.5374,113.251,118.7877,119.6231,114.7639,112.2917,113.3582,117.9671,119.673,117.6901,119.5743,121.915,120.2538,117.3119,117.0824,118.6443,118.1598,117.7364,115.532,,105.65,105.384,116.9466,118.5821,120.3048,125.3033,126.2782,123.1615,122.7134,129.45,126.0814,129.3841,132.4839,130.2955,138.5554,138.5138,134.1507,142.0057,147.2043,156.8388,156.3929,164.0892,171.9009,176.9628,171.5974,176.903,171.236,179.0232,178.9767,180.2577,188.0625,192.8581,198.2364,180.2303,179.9961,172.002,172.2578,172.6055,182.5822,191.638,197.0731,197.9693,199.0506,208.4135,209.564,79.0242666667,118.9774,1.50558056428
21,96239,90805,Long Beach,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,22,107.9656,110.6247,111.7526,107.4171,103.1629,102.5453,102.4701,106.5071,105.7893,102.7846,101.0147,100.4264,104.8712,101.3538,98.2638,103.5242,105.3469,110.6398,110.2663,113.4625,113.9657,111.6456,104.0348,104.9515,106.3656,106.802,105.8936,107.6593,111.2783,114.5915,115.4548,114.7552,113.5272,114.92,108.9699,105.1634,107.2267,111.5538,119.8526,123.2554,120.8056,119.22,114.8561,120.8337,120.4296,121.4571,122.8698,125.876,125.2683,122.2458,122.3577,127.9526,132.7763,135.3638,136.0027,134.845,131.4264,134.8403,140.0928,141.5341,141.0424,143.5549,145.1106,148.1991,152.0337,155.2241,156.7126,160.0915,159.2258,157.0433,158.5401,158.8003,159.4525,163.8952,168.1426,172.4348,177.5891,177.0273,179.0849,184.667,184.2263,182.1437,194.5295,198.9174,206.3872,202.281,201.636,200.7309,216.1804,222.233,229.2135,227.5178,226.7394,238.5875,240.0716,247.5458,250.3543,272.1566,287.7035,294.4107,294.9279,292.1158,297.6208,309.0652,317.875,325.8679,317.1418,323.7988,340.1718,348.7573,359.7501,357.2467,379.1553,392.6988,397.3526,388.5749,376.6443,380.543,386.2495,400.9424,398.6621,419.5178,410.1642,390.6435,391.9461,392.8551,408.2662,402.9077,403.4674,396.7064,412.5849,424.2855,423.2434,424.5802,401.3424,394.6802,397.5066,414.3517,390.6209,382.9265,368.4777,,,,,,276.69637883,295.1402,270.5997,,257.5562,250.0943,248.912,238.9286,236.2162,,,1341.5092,228.2269,217.8445,221.7251,228.6275,230.412,229.0765,222.4165,213.2641,213.5021,224.8771,230.8789,221.3238,224.2231,232.3921,228.2469,225.7992,212.0337,217.7577,227.5672,216.6972,227.9735,223.8748,230.4224,219.273,218.1484,219.5372,226.9985,223.9718,214.5882,211.4178,205.0438,,221.3466,224.6534,,208.9408,190.916,217.6301,226.0741,229.1805,226.5082,227.9902,234.0827,242.6204,244.0322,248.8555,252.0501,249.2201,257.8479,277.6814,279.8993,278.194,294.1827,287.6647,301.8645,294.5584,284.883,284.4703,291.3531,285.5412,288.3717,308.6292,316.5764,296.1155,275.67,287.8879,297.9376,296.7687,286.6068,287.2173,309.2632,314.0908,320.6408,331.1455,323.648,330.9686,324.6617,123.739133333,222.9633,1.80188186222
24,97771,94565,Pittsburg,CA,San Francisco,Contra Costa,25,86.3062,88.2297,86.2948,88.452,85.565,86.8564,86.9208,88.2865,86.5367,84.4628,82.6602,82.4047,84.1819,87.2018,86.9896,87.4871,88.6553,88.1906,86.6622,83.5995,86.3697,87.2986,88.375,89.9907,91.571,90.6225,91.0982,93.7997,96.7737,98.5113,96.6221,97.8259,97.5699,96.5287,97.1424,96.7132,100.1001,101.201,104.9095,106.9209,110.2488,110.0023,111.4725,111.7501,114.2029,114.0981,116.1641,117.5599,123.5024,126.9163,128.8114,131.1249,130.3747,132.3132,134.4849,140.1253,142.988,143.2216,145.5609,152.7644,160.2541,165.3696,165.8032,164.6198,165.1027,163.2513,165.6035,165.1787,165.7316,163.9681,164.7589,166.6831,172.383,180.013,184.0935,184.4534,185.7643,186.2771,189.9741,192.9728,192.896,191.5512,196.4275,197.4699,198.6343,202.2265,205.7171,210.3941,215.6623,220.1727,221.1834,219.2681,220.3274,221.6034,225.0172,227.511,232.2419,234.3165,241.0221,251.1709,254.837,258.7465,264.9013,272.7526,276.7602,281.3136,278.5115,290.1475,298.4683,311.384,316.5444,315.8806,321.6091,325.3623,334.156,329.7721,329.076,325.8725,329.0336,336.6797,336.5429,335.5327,338.8222,340.5272,339.8154,329.8501,324.8846,311.1457,313.2569,310.1001,300.6134,297.0314,294.7579,296.3018,299.5611,303.151,301.0964,284.6379,298.0912,270.7724,257.1188,,,206.475832942,192.5223,179.5584,167.4989,166.4982,157.4215,155.0013,154.0396,151.5906,137.9711,135.2719,130.6662,121.2327,116.494,113.9294,113.6969,111.603,111.2447,112.6888,114.7037,115.4605,113.9656,116.2752,123.3154,121.4566,120.9554,117.9224,116.1482,115.525,116.7726,114.9697,117.3627,113.9634,115.8009,109.4262,105.9439,103.9141,110.9232,111.2359,116.406,111.2703,106.3591,105.1061,105.606,108.7981,104.6454,104.8163,102.7623,105.6108,106.4888,108.769,105.7051,108.2895,113.2988,115.7059,114.9749,113.2129,110.6194,116.6451,122.3403,125.0808,128.4314,133.1308,148.0174,157.4317,172.7908,166.5004,165.546,163.746,176.4568,178.6746,180.1491,187.7919,182.5801,196.0706,190.1654,193.4876,186.1337,190.847,192.5462,190.853,194.8051,187.0449,183.9848,193.6949,199.5533,201.0923,200.7475,203.7465,214.6332,219.3885,216.4368,117.949466667,120.324433333,1.02013545914
27,96817,92336,Fontana,CA,Riverside,San Bernardino,28,75.9021,74.6629,74.4133,75.1046,74.9864,75.7136,76.6357,75.8143,74.7786,73.6713,73.9815,75.9227,75.4808,71.3138,72.1348,73.6646,74.7196,73.329,72.3421,71.2072,71.4339,73.0407,74.2951,74.9774,75.8908,76.886,76.0237,74.5553,75.0599,74.9697,76.8815,76.2444,75.7494,77.2022,78.3672,79.044,80.5868,81.0815,83.1803,82.6664,81.5411,80.1805,79.5178,81.8023,81.9048,84.5439,84.3193,85.8698,86.8558,88.9875,89.7158,91.2171,91.1044,92.9694,93.8056,94.4841,92.7012,93.2188,91.0189,91.5082,94.0901,97.0313,97.3853,97.4768,97.6443,100.4787,102.6513,102.4644,103.9257,104.1192,104.974,104.2948,105.5367,108.0824,109.9927,112.2447,114.6143,115.3124,120.3147,120.6319,121.3564,121.296,120.5589,124.4774,125.3325,126.8362,127.8422,131.3378,135.3603,138.9542,141.5819,142.1559,144.219,153.0747,160.4466,166.6464,170.1053,177.0322,186.3306,192.4428,196.4872,195.2705,194.5418,192.515,191.7657,196.8214,204.769,210.9756,214.7136,212.8112,222.0402,226.2112,226.1049,223.3991,223.9138,226.162,220.8388,227.6403,234.6102,239.5454,242.039,243.4737,241.173,242.838,243.3188,240.8852,237.5185,237.1592,235.5224,232.4222,222.3894,214.0887,218.0324,217.8688,215.569,211.4349,211.971,196.8994,183.4441,170.0871,160.0396,159.559,157.2503,150.9804,161.9588,157.854,151.9167,145.4855,147.3314,148.8811,145.7343,146.4868,137.0367,130.46,129.1773,128.6453,124.2499,122.7489,123.7546,122.7029,119.7281,120.6343,127.0276,128.3785,129.8468,129.5432,124.1392,126.3788,127.7476,130.8765,133.1129,131.1864,130.8143,126.5832,127.7955,128.2862,125.5688,122.8106,121.6155,121.3391,123.1772,125.3243,124.1106,122.2135,117.5883,117.2326,117.7204,119.2316,115.6825,122.5959,120.2307,117.7558,116.2679,121.9989,124.4635,127.1546,126.9513,125.896,123.7955,126.6206,127.7122,129.9966,135.1394,139.504,142.1124,146.2415,147.3079,150.8551,161.8294,163.2788,161.7982,157.9952,162.7822,169.5078,171.2515,172.0242,178.2775,178.2552,178.0483,183.456,185.9022,186.0182,185.294,185.0267,186.1766,183.3132,184.001,180.5788,181.9683,181.7008,186.0292,186.3097,184.5753,191.1723,189.6399,84.9883,127.6046,1.50143725666
